official_json_row_1based,group,fig,control,shift,condition,channel,direction,status_in,data1_in,status_out,data1_out,decoded_actions,implementation,finding
143,EFFECT,F11,FX ON/OFF,,,5,IN/OUT,94,47,9n,47,fxToggle,動作経路あり,デコーダーからruntime/UI処理あり。公式機能との完全同等性・実機音声/LEDはこの監査では未検証。
144,EFFECT,F11,FX ON/OFF,+SHIFT,,5,IN/OUT,94,43,9n,43,,未デコード,公式入力を渡してもアクションなし。
145,PAD,P1,PAD 1,,HOT CUE mode (PAGE 1),8/10/12/14,IN/OUT,9p,00,9n,00,hotcue,部分実装,slot 0–7のみ設定/呼出/SHIFT削除。slot 8–15は未対応通知。
146,PAD,P1,PAD 1,+SHIFT,HOT CUE mode (PAGE 1),9/11/13/15,IN/OUT,9p,00,9n,00,hotcue,部分実装,slot 0–7のみ設定/呼出/SHIFT削除。slot 8–15は未対応通知。
147,PAD,P1,PAD 1,,HOT CUE mode (PAGE 2),8/10/12/14,IN/OUT,9p,08,9n,08,hotcue,部分実装,slot 0–7のみ設定/呼出/SHIFT削除。slot 8–15は未対応通知。
148,PAD,P1,PAD 1,+SHIFT,HOT CUE mode (PAGE 2),9/11/13/15,IN/OUT,9p,08,9n,08,hotcue,部分実装,slot 0–7のみ設定/呼出/SHIFT削除。slot 8–15は未対応通知。
149,PAD,P1,PAD 1,,PAD FX mode 1 (PAGE 1),8/10/12/14,IN/OUT,9p,10,9n,10,padFx,部分実装,PAD FX 1/2のモード識別が同じpadFxに潰れる。slot%8で両PAGE同一。SHIFT別動作なし。1デッキ1FX共有。
150,PAD,P1,PAD 1,+SHIFT,PAD FX mode 1 (PAGE 1),9/11/13/15,IN/OUT,9p,10,9n,10,padFx,部分実装,PAD FX 1/2のモード識別が同じpadFxに潰れる。slot%8で両PAGE同一。SHIFT別動作なし。1デッキ1FX共有。
151,PAD,P1,PAD 1,,PAD FX mode 1 (PAGE 2),8/10/12/14,IN/OUT,9p,18,9n,18,padFx,部分実装,PAD FX 1/2のモード識別が同じpadFxに潰れる。slot%8で両PAGE同一。SHIFT別動作なし。1デッキ1FX共有。
152,PAD,P1,PAD 1,+SHIFT,PAD FX mode 1 (PAGE 2),9/11/13/15,IN/OUT,9p,18,9n,18,padFx,部分実装,PAD FX 1/2のモード識別が同じpadFxに潰れる。slot%8で両PAGE同一。SHIFT別動作なし。1デッキ1FX共有。
153,PAD,P1,PAD 1,,BEAT JUMP mode (PAGE 1),8/10/12/14,IN/OUT,9p,20,9n,20,beatJumpPad,部分実装,slot%8でPAGE 2もPAGE 1と同じ。SHIFT別動作なし。
154,PAD,P1,PAD 1,+SHIFT,BEAT JUMP mode (PAGE 1),9/11/13/15,IN/OUT,9p,20,9n,20,beatJumpPad,部分実装,slot%8でPAGE 2もPAGE 1と同じ。SHIFT別動作なし。
155,PAD,P1,PAD 1,,BEAT JUMP mode (PAGE 2),8/10/12/14,IN/OUT,9p,28,9n,28,beatJumpPad,部分実装,slot%8でPAGE 2もPAGE 1と同じ。SHIFT別動作なし。
156,PAD,P1,PAD 1,+SHIFT,BEAT JUMP mode (PAGE 2),9/11/13/15,IN/OUT,9p,28,9n,28,beatJumpPad,部分実装,slot%8でPAGE 2もPAGE 1と同じ。SHIFT別動作なし。
157,PAD,P1,PAD 1,,SAMPLER mode (PAGE 1),8/10/12/14,IN/OUT,9p,30,9n,30,sampler,未実装通知のみ,受信するがruntimeは未対応エラーを表示してreturn。サンプラーUIもstub。
158,PAD,P1,PAD 1,+SHIFT,SAMPLER mode (PAGE 1),9/11/13/15,IN/OUT,9p,30,9n,30,sampler,未実装通知のみ,受信するがruntimeは未対応エラーを表示してreturn。サンプラーUIもstub。
159,PAD,P1,PAD 1,,SAMPLER mode (PAGE 2),8/10/12/14,IN/OUT,9p,38,9n,38,sampler,未実装通知のみ,受信するがruntimeは未対応エラーを表示してreturn。サンプラーUIもstub。
160,PAD,P1,PAD 1,+SHIFT,SAMPLER mode (PAGE 2),9/11/13/15,IN/OUT,9p,38,9n,38,sampler,未実装通知のみ,受信するがruntimeは未対応エラーを表示してreturn。サンプラーUIもstub。
161,PAD,P1,PAD 1,,KEYBOARD mode (PAGE 1),8/10/12/14,IN/OUT,9p,40,9n,40,keyboard,未実装通知のみ,受信するがruntimeは未対応エラーを表示してreturn。サンプラーUIもstub。
162,PAD,P1,PAD 1,+SHIFT,KEYBOARD mode (PAGE 1),9/11/13/15,IN/OUT,9p,40,9n,40,keyboard,未実装通知のみ,受信するがruntimeは未対応エラーを表示してreturn。サンプラーUIもstub。
163,PAD,P1,PAD 1,,KEYBOARD mode (PAGE 2),8/10/12/14,IN/OUT,9p,48,9n,48,keyboard,未実装通知のみ,受信するがruntimeは未対応エラーを表示してreturn。サンプラーUIもstub。
164,PAD,P1,PAD 1,+SHIFT,KEYBOARD mode (PAGE 2),9/11/13/15,IN/OUT,9p,48,9n,48,keyboard,未実装通知のみ,受信するがruntimeは未対応エラーを表示してreturn。サンプラーUIもstub。
165,PAD,P1,PAD 1,,PAD FX mode 2 (PAGE 1),8/10/12/14,IN/OUT,9p,50,9n,50,padFx,部分実装,PAD FX 1/2のモード識別が同じpadFxに潰れる。slot%8で両PAGE同一。SHIFT別動作なし。1デッキ1FX共有。
166,PAD,P1,PAD 1,+SHIFT,PAD FX mode 2 (PAGE 1),9/11/13/15,IN/OUT,9p,50,9n,50,padFx,部分実装,PAD FX 1/2のモード識別が同じpadFxに潰れる。slot%8で両PAGE同一。SHIFT別動作なし。1デッキ1FX共有。
167,PAD,P1,PAD 1,,PAD FX mode 2 (PAGE 2),8/10/12/14,IN/OUT,9p,58,9n,58,padFx,部分実装,PAD FX 1/2のモード識別が同じpadFxに潰れる。slot%8で両PAGE同一。SHIFT別動作なし。1デッキ1FX共有。
168,PAD,P1,PAD 1,+SHIFT,PAD FX mode 2 (PAGE 2),9/11/13/15,IN/OUT,9p,58,9n,58,padFx,部分実装,PAD FX 1/2のモード識別が同じpadFxに潰れる。slot%8で両PAGE同一。SHIFT別動作なし。1デッキ1FX共有。
169,PAD,P1,PAD 1,,BEAT LOOP mode (PAGE 1),8/10/12/14,IN/OUT,9p,60,9n,60,beatLoopPad,部分実装,slot%8でPAGE 2もPAGE 1と同じ。SHIFT別動作なし。
170,PAD,P1,PAD 1,+SHIFT,BEAT LOOP mode (PAGE 1),9/11/13/15,IN/OUT,9p,60,9n,60,beatLoopPad,部分実装,slot%8でPAGE 2もPAGE 1と同じ。SHIFT別動作なし。
171,PAD,P1,PAD 1,,BEAT LOOP mode (PAGE 2),8/10/12/14,IN/OUT,9p,68,9n,68,beatLoopPad,部分実装,slot%8でPAGE 2もPAGE 1と同じ。SHIFT別動作なし。
172,PAD,P1,PAD 1,+SHIFT,BEAT LOOP mode (PAGE 2),9/11/13/15,IN/OUT,9p,68,9n,68,beatLoopPad,部分実装,slot%8でPAGE 2もPAGE 1と同じ。SHIFT別動作なし。
173,PAD,P1,PAD 1,,KEY SHIFT mode (PAGE 1),8/10/12/14,IN/OUT,9p,70,9n,70,keyShift,未実装通知のみ,受信するがruntimeは未対応エラーを表示してreturn。サンプラーUIもstub。
174,PAD,P1,PAD 1,+SHIFT,KEY SHIFT mode (PAGE 1),9/11/13/15,IN/OUT,9p,70,9n,70,keyShift,未実装通知のみ,受信するがruntimeは未対応エラーを表示してreturn。サンプラーUIもstub。
175,PAD,P1,PAD 1,,KEY SHIFT mode (PAGE 2),8/10/12/14,IN/OUT,9p,78,9n,78,keyShift,未実装通知のみ,受信するがruntimeは未対応エラーを表示してreturn。サンプラーUIもstub。
176,PAD,P1,PAD 1,+SHIFT,KEY SHIFT mode (PAGE 2),9/11/13/15,IN/OUT,9p,78,9n,78,keyShift,未実装通知のみ,受信するがruntimeは未対応エラーを表示してreturn。サンプラーUIもstub。
177,PAD,P2,PAD 2,,HOT CUE mode (PAGE 1),8/10/12/14,IN/OUT,9p,01,9n,01,hotcue,部分実装,slot 0–7のみ設定/呼出/SHIFT削除。slot 8–15は未対応通知。
178,PAD,P2,PAD 2,+SHIFT,HOT CUE mode (PAGE 1),9/11/13/15,IN/OUT,9p,01,9n,01,hotcue,部分実装,slot 0–7のみ設定/呼出/SHIFT削除。slot 8–15は未対応通知。
179,PAD,P2,PAD 2,,HOT CUE mode (PAGE 2),8/10/12/14,IN/OUT,9p,09,9n,09,hotcue,部分実装,slot 0–7のみ設定/呼出/SHIFT削除。slot 8–15は未対応通知。
180,PAD,P2,PAD 2,+SHIFT,HOT CUE mode (PAGE 2),9/11/13/15,IN/OUT,9p,09,9n,09,hotcue,部分実装,slot 0–7のみ設定/呼出/SHIFT削除。slot 8–15は未対応通知。
181,PAD,P2,PAD 2,,PAD FX mode 1 (PAGE 1),8/10/12/14,IN/OUT,9p,11,9n,11,padFx,部分実装,PAD FX 1/2のモード識別が同じpadFxに潰れる。slot%8で両PAGE同一。SHIFT別動作なし。1デッキ1FX共有。
182,PAD,P2,PAD 2,+SHIFT,PAD FX mode 1 (PAGE 1),9/11/13/15,IN/OUT,9p,11,9n,11,padFx,部分実装,PAD FX 1/2のモード識別が同じpadFxに潰れる。slot%8で両PAGE同一。SHIFT別動作なし。1デッキ1FX共有。
183,PAD,P2,PAD 2,,PAD FX mode 1 (PAGE 2),8/10/12/14,IN/OUT,9p,19,9n,19,padFx,部分実装,PAD FX 1/2のモード識別が同じpadFxに潰れる。slot%8で両PAGE同一。SHIFT別動作なし。1デッキ1FX共有。
184,PAD,P2,PAD 2,+SHIFT,PAD FX mode 1 (PAGE 2),9/11/13/15,IN/OUT,9p,19,9n,19,padFx,部分実装,PAD FX 1/2のモード識別が同じpadFxに潰れる。slot%8で両PAGE同一。SHIFT別動作なし。1デッキ1FX共有。
185,PAD,P2,PAD 2,,BEAT JUMP mode (PAGE 1),8/10/12/14,IN/OUT,9p,21,9n,21,beatJumpPad,部分実装,slot%8でPAGE 2もPAGE 1と同じ。SHIFT別動作なし。
186,PAD,P2,PAD 2,+SHIFT,BEAT JUMP mode (PAGE 1),9/11/13/15,IN/OUT,9p,21,9n,21,beatJumpPad,部分実装,slot%8でPAGE 2もPAGE 1と同じ。SHIFT別動作なし。
187,PAD,P2,PAD 2,,BEAT JUMP mode (PAGE 2),8/10/12/14,IN/OUT,9p,29,9n,29,beatJumpPad,部分実装,slot%8でPAGE 2もPAGE 1と同じ。SHIFT別動作なし。
188,PAD,P2,PAD 2,+SHIFT,BEAT JUMP mode (PAGE 2),9/11/13/15,IN/OUT,9p,29,9n,29,beatJumpPad,部分実装,slot%8でPAGE 2もPAGE 1と同じ。SHIFT別動作なし。
189,PAD,P2,PAD 2,,SAMPLER mode (PAGE 1),8/10/12/14,IN/OUT,9p,31,9n,31,sampler,未実装通知のみ,受信するがruntimeは未対応エラーを表示してreturn。サンプラーUIもstub。
190,PAD,P2,PAD 2,+SHIFT,SAMPLER mode (PAGE 1),9/11/13/15,IN/OUT,9p,31,9n,31,sampler,未実装通知のみ,受信するがruntimeは未対応エラーを表示してreturn。サンプラーUIもstub。
191,PAD,P2,PAD 2,,SAMPLER mode (PAGE 2),8/10/12/14,IN/OUT,9p,39,9n,39,sampler,未実装通知のみ,受信するがruntimeは未対応エラーを表示してreturn。サンプラーUIもstub。
192,PAD,P2,PAD 2,+SHIFT,SAMPLER mode (PAGE 2),9/11/13/15,IN/OUT,9p,39,9n,39,sampler,未実装通知のみ,受信するがruntimeは未対応エラーを表示してreturn。サンプラーUIもstub。
193,PAD,P2,PAD 2,,KEYBOARD mode (PAGE 1),8/10/12/14,IN/OUT,9p,41,9n,41,keyboard,未実装通知のみ,受信するがruntimeは未対応エラーを表示してreturn。サンプラーUIもstub。
194,PAD,P2,PAD 2,+SHIFT,KEYBOARD mode (PAGE 1),9/11/13/15,IN/OUT,9p,41,9n,41,keyboard,未実装通知のみ,受信するがruntimeは未対応エラーを表示してreturn。サンプラーUIもstub。
195,PAD,P2,PAD 2,,KEYBOARD mode (PAGE 2),8/10/12/14,IN/OUT,9p,49,9n,49,keyboard,未実装通知のみ,受信するがruntimeは未対応エラーを表示してreturn。サンプラーUIもstub。
196,PAD,P2,PAD 2,+SHIFT,KEYBOARD mode (PAGE 2),9/11/13/15,IN/OUT,9p,49,9n,49,keyboard,未実装通知のみ,受信するがruntimeは未対応エラーを表示してreturn。サンプラーUIもstub。
197,PAD,P2,PAD 2,,PAD FX mode 2 (PAGE 1),8/10/12/14,IN/OUT,9p,51,9n,51,padFx,部分実装,PAD FX 1/2のモード識別が同じpadFxに潰れる。slot%8で両PAGE同一。SHIFT別動作なし。1デッキ1FX共有。
198,PAD,P2,PAD 2,+SHIFT,PAD FX mode 2 (PAGE 1),9/11/13/15,IN/OUT,9p,51,9n,51,padFx,部分実装,PAD FX 1/2のモード識別が同じpadFxに潰れる。slot%8で両PAGE同一。SHIFT別動作なし。1デッキ1FX共有。
199,PAD,P2,PAD 2,,PAD FX mode 2 (PAGE 2),8/10/12/14,IN/OUT,9p,59,9n,59,padFx,部分実装,PAD FX 1/2のモード識別が同じpadFxに潰れる。slot%8で両PAGE同一。SHIFT別動作なし。1デッキ1FX共有。
200,PAD,P2,PAD 2,+SHIFT,PAD FX mode 2 (PAGE 2),9/11/13/15,IN/OUT,9p,59,9n,59,padFx,部分実装,PAD FX 1/2のモード識別が同じpadFxに潰れる。slot%8で両PAGE同一。SHIFT別動作なし。1デッキ1FX共有。
201,PAD,P2,PAD 2,,BEAT LOOP mode (PAGE 1),8/10/12/14,IN/OUT,9p,61,9n,61,beatLoopPad,部分実装,slot%8でPAGE 2もPAGE 1と同じ。SHIFT別動作なし。
202,PAD,P2,PAD 2,+SHIFT,BEAT LOOP mode (PAGE 1),9/11/13/15,IN/OUT,9p,61,9n,61,beatLoopPad,部分実装,slot%8でPAGE 2もPAGE 1と同じ。SHIFT別動作なし。
203,PAD,P2,PAD 2,,BEAT LOOP mode (PAGE 2),8/10/12/14,IN/OUT,9p,69,9n,69,beatLoopPad,部分実装,slot%8でPAGE 2もPAGE 1と同じ。SHIFT別動作なし。
204,PAD,P2,PAD 2,+SHIFT,BEAT LOOP mode (PAGE 2),9/11/13/15,IN/OUT,9p,69,9n,69,beatLoopPad,部分実装,slot%8でPAGE 2もPAGE 1と同じ。SHIFT別動作なし。
205,PAD,P2,PAD 2,,KEY SHIFT mode (PAGE 1),8/10/12/14,IN/OUT,9p,71,9n,71,keyShift,未実装通知のみ,受信するがruntimeは未対応エラーを表示してreturn。サンプラーUIもstub。
206,PAD,P2,PAD 2,+SHIFT,KEY SHIFT mode (PAGE 1),9/11/13/15,IN/OUT,9p,71,9n,71,keyShift,未実装通知のみ,受信するがruntimeは未対応エラーを表示してreturn。サンプラーUIもstub。
207,PAD,P2,PAD 2,,KEY SHIFT mode (PAGE 2),8/10/12/14,IN/OUT,9p,79,9n,79,keyShift,未実装通知のみ,受信するがruntimeは未対応エラーを表示してreturn。サンプラーUIもstub。
208,PAD,P2,PAD 2,+SHIFT,KEY SHIFT mode (PAGE 2),9/11/13/15,IN/OUT,9p,79,9n,79,keyShift,未実装通知のみ,受信するがruntimeは未対応エラーを表示してreturn。サンプラーUIもstub。
209,PAD,P3,PAD 3,,HOT CUE mode (PAGE 1),8/10/12/14,IN/OUT,9p,02,9n,02,hotcue,部分実装,slot 0–7のみ設定/呼出/SHIFT削除。slot 8–15は未対応通知。
210,PAD,P3,PAD 3,+SHIFT,HOT CUE mode (PAGE 1),9/11/13/15,IN/OUT,9p,02,9n,02,hotcue,部分実装,slot 0–7のみ設定/呼出/SHIFT削除。slot 8–15は未対応通知。
211,PAD,P3,PAD 3,,HOT CUE mode (PAGE 2),8/10/12/14,IN/OUT,9p,0A,9n,0A,hotcue,部分実装,slot 0–7のみ設定/呼出/SHIFT削除。slot 8–15は未対応通知。
212,PAD,P3,PAD 3,+SHIFT,HOT CUE mode (PAGE 2),9/11/13/15,IN/OUT,9p,0A,9n,0A,hotcue,部分実装,slot 0–7のみ設定/呼出/SHIFT削除。slot 8–15は未対応通知。
213,PAD,P3,PAD 3,,PAD FX mode 1 (PAGE 1),8/10/12/14,IN/OUT,9p,12,9n,12,padFx,部分実装,PAD FX 1/2のモード識別が同じpadFxに潰れる。slot%8で両PAGE同一。SHIFT別動作なし。1デッキ1FX共有。
214,PAD,P3,PAD 3,+SHIFT,PAD FX mode 1 (PAGE 1),9/11/13/15,IN/OUT,9p,12,9n,12,padFx,部分実装,PAD FX 1/2のモード識別が同じpadFxに潰れる。slot%8で両PAGE同一。SHIFT別動作なし。1デッキ1FX共有。
215,PAD,P3,PAD 3,,PAD FX mode 1 (PAGE 2),8/10/12/14,IN/OUT,9p,1A,9n,1A,padFx,部分実装,PAD FX 1/2のモード識別が同じpadFxに潰れる。slot%8で両PAGE同一。SHIFT別動作なし。1デッキ1FX共有。
216,PAD,P3,PAD 3,+SHIFT,PAD FX mode 1 (PAGE 2),9/11/13/15,IN/OUT,9p,1A,9n,1A,padFx,部分実装,PAD FX 1/2のモード識別が同じpadFxに潰れる。slot%8で両PAGE同一。SHIFT別動作なし。1デッキ1FX共有。
217,PAD,P3,PAD 3,,BEAT JUMP mode (PAGE 1),8/10/12/14,IN/OUT,9p,22,9n,22,beatJumpPad,部分実装,slot%8でPAGE 2もPAGE 1と同じ。SHIFT別動作なし。
218,PAD,P3,PAD 3,+SHIFT,BEAT JUMP mode (PAGE 1),9/11/13/15,IN/OUT,9p,22,9n,22,beatJumpPad,部分実装,slot%8でPAGE 2もPAGE 1と同じ。SHIFT別動作なし。
219,PAD,P3,PAD 3,,BEAT JUMP mode (PAGE 2),8/10/12/14,IN/OUT,9p,2A,9n,2A,beatJumpPad,部分実装,slot%8でPAGE 2もPAGE 1と同じ。SHIFT別動作なし。
220,PAD,P3,PAD 3,+SHIFT,BEAT JUMP mode (PAGE 2),9/11/13/15,IN/OUT,9p,2A,9n,2A,beatJumpPad,部分実装,slot%8でPAGE 2もPAGE 1と同じ。SHIFT別動作なし。
221,PAD,P3,PAD 3,,SAMPLER mode (PAGE 1),8/10/12/14,IN/OUT,9p,32,9n,32,sampler,未実装通知のみ,受信するがruntimeは未対応エラーを表示してreturn。サンプラーUIもstub。
222,PAD,P3,PAD 3,+SHIFT,SAMPLER mode (PAGE 1),9/11/13/15,IN/OUT,9p,32,9n,32,sampler,未実装通知のみ,受信するがruntimeは未対応エラーを表示してreturn。サンプラーUIもstub。
223,PAD,P3,PAD 3,,SAMPLER mode (PAGE 2),8/10/12/14,IN/OUT,9p,3A,9n,3A,sampler,未実装通知のみ,受信するがruntimeは未対応エラーを表示してreturn。サンプラーUIもstub。
224,PAD,P3,PAD 3,+SHIFT,SAMPLER mode (PAGE 2),9/11/13/15,IN/OUT,9p,3A,9n,3A,sampler,未実装通知のみ,受信するがruntimeは未対応エラーを表示してreturn。サンプラーUIもstub。
225,PAD,P3,PAD 3,,KEYBOARD mode (PAGE 1),8/10/12/14,IN/OUT,9p,42,9n,42,keyboard,未実装通知のみ,受信するがruntimeは未対応エラーを表示してreturn。サンプラーUIもstub。
226,PAD,P3,PAD 3,+SHIFT,KEYBOARD mode (PAGE 1),9/11/13/15,IN/OUT,9p,42,9n,42,keyboard,未実装通知のみ,受信するがruntimeは未対応エラーを表示してreturn。サンプラーUIもstub。
227,PAD,P3,PAD 3,,KEYBOARD mode (PAGE 2),8/10/12/14,IN/OUT,9p,4A,9n,4A,keyboard,未実装通知のみ,受信するがruntimeは未対応エラーを表示してreturn。サンプラーUIもstub。
228,PAD,P3,PAD 3,+SHIFT,KEYBOARD mode (PAGE 2),9/11/13/15,IN/OUT,9p,4A,9n,4A,keyboard,未実装通知のみ,受信するがruntimeは未対応エラーを表示してreturn。サンプラーUIもstub。
229,PAD,P3,PAD 3,,PAD FX mode 2 (PAGE 1),8/10/12/14,IN/OUT,9p,52,9n,52,padFx,部分実装,PAD FX 1/2のモード識別が同じpadFxに潰れる。slot%8で両PAGE同一。SHIFT別動作なし。1デッキ1FX共有。
230,PAD,P3,PAD 3,+SHIFT,PAD FX mode 2 (PAGE 1),9/11/13/15,IN/OUT,9p,52,9n,52,padFx,部分実装,PAD FX 1/2のモード識別が同じpadFxに潰れる。slot%8で両PAGE同一。SHIFT別動作なし。1デッキ1FX共有。
231,PAD,P3,PAD 3,,PAD FX mode 2 (PAGE 2),8/10/12/14,IN/OUT,9p,5A,9n,5A,padFx,部分実装,PAD FX 1/2のモード識別が同じpadFxに潰れる。slot%8で両PAGE同一。SHIFT別動作なし。1デッキ1FX共有。
232,PAD,P3,PAD 3,+SHIFT,PAD FX mode 2 (PAGE 2),9/11/13/15,IN/OUT,9p,5A,9n,5A,padFx,部分実装,PAD FX 1/2のモード識別が同じpadFxに潰れる。slot%8で両PAGE同一。SHIFT別動作なし。1デッキ1FX共有。
233,PAD,P3,PAD 3,,BEAT LOOP mode (PAGE 1),8/10/12/14,IN/OUT,9p,62,9n,62,beatLoopPad,部分実装,slot%8でPAGE 2もPAGE 1と同じ。SHIFT別動作なし。
234,PAD,P3,PAD 3,+SHIFT,BEAT LOOP mode (PAGE 1),9/11/13/15,IN/OUT,9p,62,9n,62,beatLoopPad,部分実装,slot%8でPAGE 2もPAGE 1と同じ。SHIFT別動作なし。
235,PAD,P3,PAD 3,,BEAT LOOP mode (PAGE 2),8/10/12/14,IN/OUT,9p,6A,9n,6A,beatLoopPad,部分実装,slot%8でPAGE 2もPAGE 1と同じ。SHIFT別動作なし。
236,PAD,P3,PAD 3,+SHIFT,BEAT LOOP mode (PAGE 2),9/11/13/15,IN/OUT,9p,6A,9n,6A,beatLoopPad,部分実装,slot%8でPAGE 2もPAGE 1と同じ。SHIFT別動作なし。
237,PAD,P3,PAD 3,,KEY SHIFT mode (PAGE 1),8/10/12/14,IN/OUT,9p,72,9n,72,keyShift,未実装通知のみ,受信するがruntimeは未対応エラーを表示してreturn。サンプラーUIもstub。
238,PAD,P3,PAD 3,+SHIFT,KEY SHIFT mode (PAGE 1),9/11/13/15,IN/OUT,9p,72,9n,72,keyShift,未実装通知のみ,受信するがruntimeは未対応エラーを表示してreturn。サンプラーUIもstub。
239,PAD,P3,PAD 3,,KEY SHIFT mode (PAGE 2),8/10/12/14,IN/OUT,9p,7A,9n,7A,keyShift,未実装通知のみ,受信するがruntimeは未対応エラーを表示してreturn。サンプラーUIもstub。
240,PAD,P3,PAD 3,+SHIFT,KEY SHIFT mode (PAGE 2),9/11/13/15,IN/OUT,9p,7A,9n,7A,keyShift,未実装通知のみ,受信するがruntimeは未対応エラーを表示してreturn。サンプラーUIもstub。
241,PAD,P4,PAD 4,,HOT CUE mode (PAGE 1),8/10/12/14,IN/OUT,9p,03,9n,03,hotcue,部分実装,slot 0–7のみ設定/呼出/SHIFT削除。slot 8–15は未対応通知。
242,PAD,P4,PAD 4,+SHIFT,HOT CUE mode (PAGE 1),9/11/13/15,IN/OUT,9p,03,9n,03,hotcue,部分実装,slot 0–7のみ設定/呼出/SHIFT削除。slot 8–15は未対応通知。
243,PAD,P4,PAD 4,,HOT CUE mode (PAGE 2),8/10/12/14,IN/OUT,9p,0B,9n,0B,hotcue,部分実装,slot 0–7のみ設定/呼出/SHIFT削除。slot 8–15は未対応通知。
244,PAD,P4,PAD 4,+SHIFT,HOT CUE mode (PAGE 2),9/11/13/15,IN/OUT,9p,0B,9n,0B,hotcue,部分実装,slot 0–7のみ設定/呼出/SHIFT削除。slot 8–15は未対応通知。
245,PAD,P4,PAD 4,,PAD FX mode 1 (PAGE 1),8/10/12/14,IN/OUT,9p,13,9n,13,padFx,部分実装,PAD FX 1/2のモード識別が同じpadFxに潰れる。slot%8で両PAGE同一。SHIFT別動作なし。1デッキ1FX共有。
246,PAD,P4,PAD 4,+SHIFT,PAD FX mode 1 (PAGE 1),9/11/13/15,IN/OUT,9p,13,9n,13,padFx,部分実装,PAD FX 1/2のモード識別が同じpadFxに潰れる。slot%8で両PAGE同一。SHIFT別動作なし。1デッキ1FX共有。
247,PAD,P4,PAD 4,,PAD FX mode 1 (PAGE 2),8/10/12/14,IN/OUT,9p,1B,9n,1B,padFx,部分実装,PAD FX 1/2のモード識別が同じpadFxに潰れる。slot%8で両PAGE同一。SHIFT別動作なし。1デッキ1FX共有。
248,PAD,P4,PAD 4,+SHIFT,PAD FX mode 1 (PAGE 2),9/11/13/15,IN/OUT,9p,1B,9n,1B,padFx,部分実装,PAD FX 1/2のモード識別が同じpadFxに潰れる。slot%8で両PAGE同一。SHIFT別動作なし。1デッキ1FX共有。
249,PAD,P4,PAD 4,,BEAT JUMP mode (PAGE 1),8/10/12/14,IN/OUT,9p,23,9n,23,beatJumpPad,部分実装,slot%8でPAGE 2もPAGE 1と同じ。SHIFT別動作なし。
250,PAD,P4,PAD 4,+SHIFT,BEAT JUMP mode (PAGE 1),9/11/13/15,IN/OUT,9p,23,9n,23,beatJumpPad,部分実装,slot%8でPAGE 2もPAGE 1と同じ。SHIFT別動作なし。
251,PAD,P4,PAD 4,,BEAT JUMP mode (PAGE 2),8/10/12/14,IN/OUT,9p,2B,9n,2B,beatJumpPad,部分実装,slot%8でPAGE 2もPAGE 1と同じ。SHIFT別動作なし。
252,PAD,P4,PAD 4,+SHIFT,BEAT JUMP mode (PAGE 2),9/11/13/15,IN/OUT,9p,2B,9n,2B,beatJumpPad,部分実装,slot%8でPAGE 2もPAGE 1と同じ。SHIFT別動作なし。
253,PAD,P4,PAD 4,,SAMPLER mode (PAGE 1),8/10/12/14,IN/OUT,9p,33,9n,33,sampler,未実装通知のみ,受信するがruntimeは未対応エラーを表示してreturn。サンプラーUIもstub。
254,PAD,P4,PAD 4,+SHIFT,SAMPLER mode (PAGE 1),9/11/13/15,IN/OUT,9p,33,9n,33,sampler,未実装通知のみ,受信するがruntimeは未対応エラーを表示してreturn。サンプラーUIもstub。
255,PAD,P4,PAD 4,,SAMPLER mode (PAGE 2),8/10/12/14,IN/OUT,9p,3B,9n,3B,sampler,未実装通知のみ,受信するがruntimeは未対応エラーを表示してreturn。サンプラーUIもstub。
256,PAD,P4,PAD 4,+SHIFT,SAMPLER mode (PAGE 2),9/11/13/15,IN/OUT,9p,3B,9n,3B,sampler,未実装通知のみ,受信するがruntimeは未対応エラーを表示してreturn。サンプラーUIもstub。
257,PAD,P4,PAD 4,,KEYBOARD mode (PAGE 1),8/10/12/14,IN/OUT,9p,43,9n,43,keyboard,未実装通知のみ,受信するがruntimeは未対応エラーを表示してreturn。サンプラーUIもstub。
258,PAD,P4,PAD 4,+SHIFT,KEYBOARD mode (PAGE 1),9/11/13/15,IN/OUT,9p,43,9n,43,keyboard,未実装通知のみ,受信するがruntimeは未対応エラーを表示してreturn。サンプラーUIもstub。
259,PAD,P4,PAD 4,,KEYBOARD mode (PAGE 2),8/10/12/14,IN/OUT,9p,4B,9n,4B,keyboard,未実装通知のみ,受信するがruntimeは未対応エラーを表示してreturn。サンプラーUIもstub。
260,PAD,P4,PAD 4,+SHIFT,KEYBOARD mode (PAGE 2),9/11/13/15,IN/OUT,9p,4B,9n,4B,keyboard,未実装通知のみ,受信するがruntimeは未対応エラーを表示してreturn。サンプラーUIもstub。
261,PAD,P4,PAD 4,,PAD FX mode 2 (PAGE 1),8/10/12/14,IN/OUT,9p,53,9n,53,padFx,部分実装,PAD FX 1/2のモード識別が同じpadFxに潰れる。slot%8で両PAGE同一。SHIFT別動作なし。1デッキ1FX共有。
262,PAD,P4,PAD 4,+SHIFT,PAD FX mode 2 (PAGE 1),9/11/13/15,IN/OUT,9p,53,9n,53,padFx,部分実装,PAD FX 1/2のモード識別が同じpadFxに潰れる。slot%8で両PAGE同一。SHIFT別動作なし。1デッキ1FX共有。
